РЕЗУЛЬТАТИ РОЗРАХУНКУ
 a = 0,5
 x =  1	 y = 0,7279799
 x =  1,25	 y = 0,66882104
 x =  1,5	 y = 0,62554735
 x =  1,75	 y = 0,5931415
 x =  2	 y = 0,567517
 x =  2,25	 y = 0,54603
 x =  2,5	 y = 0,52720714
 x =  2,75	 y = 0,5102899
 x =  3	 y = 0,49488047
 x =  3,25	 y = 0,4807419
 x =  3,5	 y = 0,46770748
 x =  3,75	 y = 0,45564514
 x =  4	 y = 0,44444445
 x =  4,25	 y = 0,43401113
 x =  4,5	 y = 0,42426407
 x =  4,75	 y = 0,41513324
 x =  5	 y = 0,40655783
 x =  5,25	 y = 0,39848486
 x =  5,5	 y = 0,39086798
 x =  5,75	 y = 0,38366652
 x =  6	 y = 0,37684458
 x =  6,25	 y = 0,37037036
 x =  6,5	 y = 0,36421567
 x =  6,75	 y = 0,35835534
 x =  7	 y = 0,35276684
 a = 1
 x =  1	 y = 0,6839397
 x =  1,25	 y = 0,5900646
 x =  1,5	 y = 0,53205764
 x =  1,75	 y = 0,4980532
 x =  2	 y = 0,47750974
 x =  2,25	 y = 0,46348608
 x =  2,5	 y = 0,4523055
 x =  2,75	 y = 0,4423552
 x =  3	 y = 0,43304354
 x =  3,25	 y = 0,42418858
 x =  3,5	 y = 0,41574076
 x =  3,75	 y = 0,40768263
 x =  4	 y = 0,40000004
 x =  4,25	 y = 0,39267674
 x =  4,5	 y = 0,38569462
 x =  4,75	 y = 0,3790347
 x =  5	 y = 0,37267798
 x =  5,25	 y = 0,36660606
 x =  5,5	 y = 0,36080122
 x =  5,75	 y = 0,35524678
 x =  6	 y = 0,3499271
 x =  6,25	 y = 0,3448276
 x =  6,5	 y = 0,33993465
 x =  6,75	 y = 0,33523563
 x =  7	 y = 0,3307189
 a = 1,5
 x =  1	 y = 0,7310915
 x =  1,25	 y = 0,57805806
 x =  1,5	 y = 0,4872977
 x =  1,75	 y = 0,43941832
 x =  2	 y = 0,41583535
 x =  2,25	 y = 0,40379784
 x =  2,5	 y = 0,3963706
 x =  2,75	 y = 0,3904662
 x =  3	 y = 0,38496187
 x =  3,25	 y = 0,37954396
 x =  3,5	 y = 0,3741679
 x =  3,75	 y = 0,3688559
 x =  4	 y = 0,3636364
 x =  4,25	 y = 0,35853094
 x =  4,5	 y = 0,35355338
 x =  4,75	 y = 0,3487119
 x =  5	 y = 0,34401047
 x =  5,25	 y = 0,33945006
 x =  5,5	 y = 0,3350297
 x =  5,75	 y = 0,330747
 x =  6	 y = 0,32659864
 x =  6,25	 y = 0,32258064
 x =  6,5	 y = 0,31868872
 x =  6,75	 y = 0,31491834
 x =  7	 y = 0,31126487
 a = 2
 x =  1	 y = 0,82383925
 x =  1,25	 y = 0,6019937
 x =  1,5	 y = 0,47038338
 x =  1,75	 y = 0,4026555
 x =  2	 y = 0,37186903
 x =  2,25	 y = 0,35889855
 x =  2,5	 y = 0,35308015
 x =  2,75	 y = 0,34955594
 x =  3	 y = 0,3465089
 x =  3,25	 y = 0,34340554
 x =  3,5	 y = 0,34015414
 x =  3,75	 y = 0,3367817
 x =  4	 y = 0,3333334
 x =  4,25	 y = 0,32984847
 x =  4,5	 y = 0,32635698
 x =  4,75	 y = 0,3228814
 x =  5	 y = 0,31943828
 x =  5,25	 y = 0,3160397
 x =  5,5	 y = 0,31269437
 x =  5,75	 y = 0,3094085
 x =  6	 y = 0,30618623
 x =  6,25	 y = 0,3030303
 x =  6,5	 y = 0,2999423
 x =  6,75	 y = 0,29692298
 x =  7	 y = 0,29397237
